ShortName,LongName,Issn
Special Topics & Reviews in Porous Media - An International Journal,"Begell House, Inc",2151-4798(Paper)2151-562X(Online)
SpecPress,ARCOM,
Spectrochimica Acta,Elsevier Science,0371-1951
Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,Elsevier Science,1386-1425
Spectrochimica Acta Part B: Atomic Spectroscopy,Elsevier Science,0584-8547
Spectroscopy,IOS Press,0712-4813(Paper)1875-922X(Online)
Spectroscopy Letters,Taylor & Francis,0038-7010(Paper)1532-2289(Online)
Spectroscopy: An International Journal,Hindawi Publishing Corporation,0712-4813(Paper)1875-922X(Online)
The Spectrum - Newsletter of the Society for Applied Spectroscopy,Society for Applied Spectroscopy,
Spectrum: A Journal on Black Men,Indiana University Press,2162-3244(Paper)2162-3252(Online)
Speculations in Science and Technology,Springer Science+Business Media B.V.,0155-7785
Speculum : Journal of Medieval Studies,The University of Chicago Press,0038-7134(Paper)2040-8072(Online)
Speech Communication,Elsevier Science,0167-6393
Speech Monographs,Routledge,0038-7169
Speech Teacher,Routledge,0038-7177
Speech Technology,Amcomm Publications,1088-5803
"Speech, Language and Hearing",Taylor & Francis,2050-571X(Paper)2050-5728(Online)
Speechwriter's Newsletter,Ragan Communications Inc.,1062-2357
Spektrum der Augenheilkunde,Springer Science+Business Media B.V.,0930-4282(Paper)1613-7523(Online)
Spektrum der Wissenschaft,Spektrum der Wissenschaft,0170-2971
Spenser Review,Spenser Review,
Spermatogenesis,Taylor & Francis,(Paper)2156-5562(Online)
Spie Reviews,SPIE/International Society of Optical Engineering,
Spiegel der Letteren,Peeters Publishers,0038-7479
Spill Science & Technology Bulletin,Elsevier Science,1353-2561
Spin,World Scientific Publishing Co. Pte. Ltd.,2010-3247(Paper)2010-3255(Online)
Spin,Canadian Paraplegic Association,1922-9445
Spinal Cord,Nature Publishing Group,1362-4393
Spinal Cord Series and Cases,Nature Publishing Group,(Paper)2058-6124(Online)
Spine,Lippincott Williams & Wilkins (LWW),0362-2436(Paper)1528-1159(Online)
Spine Deformity,Elsevier Health Sciences,2212-134X
The Spine Journal,Elsevier Science,1529-9430
Spirale,Spirale Magazine Culturel Inc,1278-4699(Paper)1951-6274(Online)
Spirit & Life,Benedictine Sisters of Perpetual Adoration,0038-7592
Spirit Magazine,First Nations Health Authority,
Spiritual Care,De Gruyter,(Paper)2365-8185(Online)
Spirituality and Health International,"Whurr Publishers Limited (a subsidiary of John Wiley & Sons, Ltd)",1743-1867(Paper)1557-0665(Online)
Spiritus: A Journal of Christian Spirituality,Johns Hopkins University Press,1533-1709(Paper)1535-3117(Online)
SPNHC Connection,Society for the Preservation of Natural History Collections ,2376-239X(Paper)2377-4711(Online)
Sport & Exercise Psychology Review,British Psychological Society,1745-4980
Sport Development,Sport Development,
Sport & Entertainment Review,Fit Publishing,2372-7233
Sport History Review,Human Kinetics Publishers Inc,1087-1659(Paper)1543-2947(Online)
Sport in History,Routledge,1746-0263(Paper)1746-0271(Online)
Sport in Society,Routledge,1743-0437(Paper)1743-0445(Online)
The Sport Journal,United States Sports Academy,(Paper)1543-9518(Online)
Journal of Process Control,Elsevier Science,0959-1524
Journal of Product & Brand Management,Emerald Group Publishing Ltd,1061-0421
Journal of Product Innovation Management,Elsevier Science,0737-6782(Paper)1540-5885(Online)
Journal of Product Innovation Management,Wiley-Blackwell,0737-6782(Paper)1540-5885(Online)
Journal of Productivity Analysis,Springer Science+Business Media B.V.,0895-562X
Journal of Professional Issues in Engineering,American Society of Civil Engineers,0733-9380
Journal of Professional Issues in Engineering Education and Practice,American Society of Civil Engineers,1052-3928
Journal of Professional Nursing,WB Saunders Company,8755-7223
Journal of Professional Services Marketing,Routledge,0748-4623
Journal of Professions and Organization,Oxford University Press,2051-8803(Paper)2051-8811(Online)
Journal of Progressive Human Services,Routledge,1042-8232(Paper)1540-7616(Online)
Journal of Projective Techniques,Taylor & Francis,0885-3126
Journal of Projective Techniques and Personality Assessment,Taylor & Francis,0091-651X
Journal of Promotion Management,Routledge,1049-6491(Paper)1540-7594(Online)
Journal of Property Finance,Emerald Group Publishing Ltd,0958-868X
Journal of Property Investment & Finance,Emerald Group Publishing Ltd,1463-578X
Journal of Property Research,Routledge,0959-9916(Paper)1466-4453(Online)
Journal of Property Valuation & Investment,Emerald Group Publishing Ltd,0960-2712
Journal of Propulsion and Power,American Institute of Aeronautics and Astronautics,0748-4658(Paper)1533-3876(Online)
The Journal of Prosthetic Dentistry,Mosby Year Book Inc,0022-3913(Paper)1097-6841(Online)
Journal of Prosthetics and Orthotics,Lippincott Williams & Wilkins (LWW),1040-8800(Paper)1534-6331(Online)
Journal of Prosthodontic Research,Elsevier Science,1883-1958(Paper)2212-4632(Online)
Journal of Prosthodontics,Wiley-Blackwell,1059-941X(Paper)1532-849X(Online)
Journal of Protein Chemistry,Springer Science+Business Media B.V.,0277-8033
Journal of Proteome Research,American Chemical Society,1535-3893(Paper)1535-3907(Online)
Journal of Proteomics,Elsevier Science,1874-3919
Journal of Pseudo-Differential Operators and Applications,Springer Science+Business Media B.V.,1662-9981(Paper)1662-999X(Online)
Journal of Psychiatric & Mental Health Nursing,Wiley-Blackwell,1351-0126(Paper)1365-2850(Online)
Journal of Psychiatric Administration and Management,Nova Science Publishers Inc,2163-3878
Journal of Psychiatric Intensive Care,Cambridge University Press (CUP),1742-6464(Paper)1744-2206(Online)
Journal of Psychiatric Nursing,Red Flower Publication Pvt. Ltd.,2277-9035
Journal of Psychiatric Practice,Lippincott Williams & Wilkins (LWW),1527-4160(Paper)1538-1145(Online)
Journal of Psychiatric Research,Elsevier Science,0022-3956
Journal of Psychiatry,OMICS Publishing Group,(Paper)2378-5756(Online)
Journal of Psychiatry & Law,SAGE Publications,0093-1853(Paper)2163-1794(Online)
Journal of Psychiatry and Neuroscience,Canadian Medical Association,1180-4882(Paper)1488-2434(Online)
Journal of Psychoactive Drugs,Routledge,0279-1072
Journal of Psychoeducational Assessment,SAGE Publications,0734-2829(Paper)1557-5144(Online)
Journal of Psycholinguistic Research,Springer Science+Business Media B.V.,0090-6905(Paper)1573-6555(Online)
Journal of Psychological Issues in Organizational Culture,"John Wiley & Sons, Ltd",2041-8418(Paper)2041-8426(Online)
Journal of Psychological Trauma,Routledge,1932-2887(Paper)1932-2895(Online)
Journal of Psychological Type,CAPT (Center for Applications of Psychological Type),0895-8750
Journal of Psychology & Human Sexuality,Taylor & Francis,0890-7064
Journal of Psychology and Judaism,Springer Science+Business Media B.V.,0700-9801(Paper)1573-370X(Online)
Journal of Psychology in Africa,NISC Pty Ltd.,1433-0237
Journal of Psychology in Africa,Taylor & Francis,1433-0237(Paper)1815-5626(Online)
Journal of Psychopathology and Behavioral Assessment,Springer Science+Business Media B.V.,0882-2689(Paper)1573-3505(Online)
Journal of Psychopharmacology,SAGE Publications,0269-8811(Paper)1461-7285(Online)
Journal of Psychophysiology,Hogrefe & Huber Publishers,0269-8803(Paper)2151-2124(Online)
Journal of Psychosocial Nursing & Mental Health Services,Slack Inc,0279-3695(Paper)1938-2413(Online)
Journal of Psychosocial Oncology,Routledge,0734-7332(Paper)1540-7586(Online)
Journal of Psychosocial Rehabilitation and Mental Health,Springer Science+Business Media B.V.,2198-9834(Paper)2198-963X(Online)
Journal of Psychosomatic Obstetrics & Gynecology,Taylor & Francis,0167-482X(Paper)1743-8942(Online)
Journal of Psychosomatic Research,Elsevier Science,0022-3999
Journal of Psychotherapy in Independent Practice,Routledge,1522-9580
Journal of Psychotherapy Integration,Springer Science+Business Media B.V.,1053-0479(Paper)1573-3696(Online)
The Journal of Psychotherapy Practice and Research,American Psychiatric Publishing,1055-050X
Journal of Public Administration - JOPA,SAAPAM - South African Association of Public Administration and Management,0036-0767
Journal of Public Administration Research and Theory,Oxford University Press,1053-1858(Paper)1477-9803(Online)
Journal of Public Affairs,"John Wiley & Sons, Inc",1472-3891(Paper)1479-1854(Online)
"Journal of Public Budgeting, Accounting & Financial Management",PrAcademics Press,1096-3367
Journal of Public Child Welfare,Routledge,1554-8732(Paper)1554-8740(Online)
Journal of Public Deliberation,De Gruyter,
Journal of Public Economic Theory,Wiley-Blackwell,1097-3923(Paper)1467-9779(Online)
Journal of Public Economics,Elsevier Science,0047-2727
Journal of Public Health,Springer Science+Business Media B.V.,2198-1833
Journal of Public Health,Oxford University Press,1741-3842(Paper)1741-3850(Online)
Journal of Public Health Dentistry,Wiley-Blackwell,0022-4006(Paper)1752-7325(Online)
Journal of Public Health Management & Practice,Lippincott Williams & Wilkins (LWW),1078-4659(Paper)1550-5022(Online)
Journal of Public Health Medicine,Oxford University Press,0957-4832(Paper)1464-3782(Online)
Journal of Public Health Policy,Palgrave Macmillan,0197-5897(Paper)1745-655X(Online)
Journal of Public Mental Health,Emerald Group Publishing Ltd,1746-5729(Paper)2042-8731(Online)
Journal of Public Policy,Cambridge University Press (CUP),0143-814X(Paper)1469-7815(Online)
Journal of Public Policy & Marketing,American Marketing Association,0743-9156(Paper)1547-7207(Online)
Journal of Public Procurement,PrAcademics Press,1535-0118
Journal of Public Relations Research,Routledge,1062-726X(Paper)1532-754X(Online)
Journal of Public Scholarship in Higher Education,Missouri State,2159-9823
Journal of Pulp & Paper Science,Pulp & Paper Technology Association Canada,0826-6220
Journal of Punjab Studies,University of California Gurinder Mann,0971-5223
Journal of Purchasing and Supply Management,Elsevier Science,1478-4092
Journal of Pure and Applied Algebra,Elsevier Science,0022-4049
Journal of Pyrotechnics,Davas Ltd,1082-3999
Journal of Quality Assurance in Hospitality & Tourism,Routledge,1528-008X(Paper)1528-0098(Online)
Journal of Quality in Clinical Practice,Wiley-Blackwell,1320-5455(Paper)1440-1762(Online)
Journal of Quality in Maintenance Engineering,Emerald Group Publishing Ltd,1355-2511
Journal of Quality Management,Elsevier Science,1084-8568
Journal of Quality Technology,American Society for Quality,0022-4065
Journal of Quantitative Analysis in Sports,De Gruyter,(Paper)1559-0410(Online)
Journal of Quantitative Criminology,Springer Science+Business Media B.V.,0748-4518(Paper)1573-7799(Online)
Journal of Quantitative Economics,Springer Science+Business Media B.V.,0971-1554(Paper)2364-1045(Online)
Journal of Quantitative Linguistics,Routledge,0929-6174(Paper)1744-5035(Online)
Journal of Quantitative Spectroscopy and Radiative Transfer,Elsevier Science,0022-4073
Journal of Quantum Chemistry,Hindawi Publishing Corporation,2356-7597(Paper)2314-6982(Online)
Journal of Quaternary Science,"John Wiley & Sons, Ltd",0267-8179(Paper)1099-1417(Online)
Journal of Qur'anic Studies,Edinburgh University Press Ltd,1465-3591(Paper)1755-1730(Online)
Journal of Racial and Ethnic Health Disparities,Springer Science+Business Media B.V.,2197-3792(Paper)2196-8837(Online)
Journal of Radiation Oncology,Springer Science+Business Media B.V.,
Journal of Radiation Research,Oxford University Press,0449-3060(Paper)1349-9157(Online)
Journal of Radiation Research and Applied Sciences,Elsevier Science,1687-8507
Journal of Radio and Audio Media,Routledge,1937-6529(Paper)1937-6537(Online)
Journal of Radio Studies,Routledge,1095-5046(Paper)1550-6843(Online)
"Scars, Burns and Healing",SAGE Publications,
Scenario,Copenhagen Institute for Futures Studies,1904-4658
Scene,Intellect Ltd,
Schifanoia,Fabrizio Serra editore,0394-5421(Paper)2038-6591(Online)
Schizophrenia Bulletin,Oxford University Press,0586-7614(Paper)1745-1701(Online)
Schizophrenia Research,Elsevier Science,0920-9964
Schizophrenia Research and Treatment,Hindawi Publishing Corporation,2090-2085(Paper)2090-2093(Online)
Schizophrenia Research: Cognition,Elsevier Science,(Paper)2215-0013(Online)
Schmalenbach Business Review,Springer Science+Business Media B.V.,1439-2917(Paper)2194-072X(Online)
Schmalenbachs Zeitschrift für betriebswirtschaftliche Forschung : Zfbf,Springer Science+Business Media B.V.,0341-2687(Paper)2366-6153(Online)
Der Schmerz,Springer Science+Business Media B.V.,0932-433X(Paper)1432-2129(Online)
Schmerzmedizin,Springer Science+Business Media B.V.,2194-2536(Paper)2364-1010(Online)
Schmollers Jahrbuch,Duncker and Humblot,1439-121X(Paper)1865-5742(Online)
Scholastic Choices,Scholastic Inc.,0883-475X
Scholastic Early Childhood Today,Scholastic Inc.,1070-1214
Schole: A Journal of Leisure Studies & Recreation Education,Sagamore Publishing,1937-156X
School Arts,Davis Publications Inc,0036-6463
School Community Journal,School Community Journal,1059-308X
School Effectiveness and School Improvement,Routledge,0924-3453(Paper)1744-5124(Online)
School Health Alert,School Health Alert,1048-3896
School Law Bulletin,University of North Carolina Institute of Government,0886-2508
School Leadership & Management,Routledge,1363-2434(Paper)1364-2626(Online)
School Leadership Today,"Imaginative Minds, Ltd.",2040-1310
School Library Journal,Reed Business Information Ltd,0362-8930
School Library Media Research,American Library Association,(Paper)1523-4320(Online)
School Library Research,American Library Association,(Paper)2165-1019(Online)
School Mental Health,Springer Science+Business Media B.V.,1866-2625(Paper)1866-2633(Online)
School Organisation,Routledge,0260-1362(Paper)1360-0605(Online)
The School Psychologist,American Psychological Association,0160-5585
School Psychology International,SAGE Publications,0143-0343(Paper)1461-7374(Online)
School Psychology Quarterly,American Psychological Association,1045-3830
School Psychology Review,National Association of School Psychologists,0279-6015
School Reform News,Heartland Institute,1092-8839
School Science & Mathematics,Wiley-Blackwell,0036-6803(Paper)1949-8594(Online)
School Talk,National Council of Teachers of English,1083-2939
SchoolJournaal,Onderwijsbonden CNV,1386-3266
Schools: Studies in Education,The University of Chicago Press,1550-1175(Paper)2153-0327(Online)
Schule Im Blickpunkt,Landeselternbeirat BW,0722-7094
Schule und Beratung,Schule und Beratung Spitzer,
Schulverwaltung Baden Wuerttemberg,Carl Link Verlag,0942-3974
Schulverwaltung Hessen Rheinland Pfalz,Carl Link Verlag,1865-2026
Schulverwaltung Spezial,Carl Link Verlag,1438-1907
Schulverwaltungsblatt für Niedersachsen,Hahnsche Buchhandlung Verlag,0048-9484
Schutzian Research,Philosophy Documentation Center,2067-0621(Paper)2248-1907(Online)
Schweissen und Schneiden,DVS Verlag,0036-7184
Schweizer Archiv für Tierheilkunde (SAT),"Hogrefe AG, Verlag Hans Huber Publishers",0036-7281
Schweizer Archivs für Neurologie und Psychiatrie,Schwabe AG,0258-7661(Paper)1661-3686(Online)
Schweizer Monat,Schweizer Monatshefte,
Schweizerische Gesellschaft für Volkswirtschaft und Statistik,Verlag Peter Lang Ag ,0303-9692
Schweizerische Zeitschrift für Ganzheitsmedizin,S Karger AG,1015-0684
Schweizerische Zeitschrift für Politikwissenschaft = Swiss Political Science Review,Wiley-Blackwell,1424-7755
Sci-Tech News,Sci-Tech News,0036-8059
Science,American Association for the Advancement of Science,0036-8075(Paper)1095-9203(Online)
Science & Education,Springer Science+Business Media B.V.,0926-7220
Science & Justice,Elsevier Science,1355-0306
Science & Motricité,EDP Sciences,1378-1863(Paper)1782-1541(Online)
Science & Society,Guilford Publications,0036-8237
Science & Technology for Cultural Heritage,Fabrizio Serra editore,1121-9122(Paper)1724-1847(Online)
Science & Technology Libraries,Routledge,0194-262X(Paper)1541-1109(Online)
Science & Technology of Welding & Joining,Taylor & Francis,1362-1718(Paper)1743-2936(Online)
Science Activities: Classroom Projects and Curriculum Ideas,Taylor & Francis,0036-8121(Paper)1940-1302(Online)
Science Advances,American Association for the Advancement of Science,(Paper)2375-2548(Online)
Science and Engineering Ethics,Springer Science+Business Media B.V.,1353-3452(Paper)1471-5546(Online)
Science and Engineering of Composite Materials,De Gruyter,0792-1233(Paper)2191-0359(Online)
Science and Global Security,Routledge,0892-9882(Paper)1547-7800(Online)
Science and Medicine,Science & Medicine,1087-3309
Science and Public Policy,Oxford University Press,0302-3427(Paper)1471-5430(Online)
Science and Sports,Elsevier Science,0765-1597
Science and Technology for the Built Environment,Taylor & Francis,2374-4731(Paper)2374-474X(Online)
Science and Technology of Advanced Materials ,Taylor & Francis,1468-6996(Paper)1878-5514(Online)
Science and Technology of Advanced Materials,Elsevier Science,1468-6996
Science and Technology of Advanced Materials,IOP Publishing Limited,1468-6996
Science and Technology of Archaeological Research,Taylor & Francis,(Paper)2054-8923(Online)
Science and Technology of Nuclear Installations,Hindawi Publishing Corporation,1687-6075(Paper)1687-6083(Online)
Science and Technology Review,Lawrence Livermore National Laboratory,1092-3055
Science as Culture,Routledge,0950-5431(Paper)1470-1189(Online)
Science Bulletin,Springer Science+Business Media B.V.,2095-9273(Paper)2095-9281(Online)
Science Bulletin,Elsevier Science,2095-9273(Paper)2095-9281(Online)
SCIENCE CHINA Chemistry,Springer Science+Business Media B.V.,
SCIENCE CHINA Earth Sciences,Springer Science+Business Media B.V.,1674-7313
SCIENCE CHINA Information Sciences,Springer Science+Business Media B.V.,
SCIENCE CHINA Life Sciences,Springer Science+Business Media B.V.,
Science China Materials,Springer Science+Business Media B.V.,2095-8226(Paper)2199-4501(Online)
SCIENCE CHINA Mathematics,Springer Science+Business Media B.V.,1674-7283
"SCIENCE CHINA Physics, Mechanics & Astronomy",Springer Science+Business Media B.V.,
SCIENCE CHINA Technological Sciences,Springer Science+Business Media B.V.,
Science Communication,SAGE Publications,1075-5470(Paper)1552-8545(Online)
Science Education,"John Wiley & Sons, Inc",0036-8326(Paper)1098-237X(Online)
Science Education International,International Council of Associations for Science Education (ICASE),1450-104X
Science Education Review,Science Education Review,1446-6120
Science Fiction Film and Television (Project Muse),Liverpool University Press,1754-3770(Paper)1754-3789(Online)
Science Fiction Film and Television,Liverpool University Press,1754-3770
Science Fiction Studies,SF-TH INC,0091-7729
Science Findings,Pacific NW Research Station,
Science Immunology,American Association for the Advancement of Science,(Paper)2470-9468(Online)
Science in China Series A: Mathematics ,Springer Science+Business Media B.V.,1006-9283(Paper)1862-2763(Online)
Science in China Series B: Chemistry ,Springer Science+Business Media B.V.,1006-9291(Paper)1862-2771(Online)
Science in China Series C: Life Sciences,Springer Science+Business Media B.V.,1006-9305(Paper)1862-2798(Online)
Science in China Series D: Earth Sciences,Springer Science+Business Media B.V.,1006-9313(Paper)1862-2801(Online)
Science in China Series E: Technological Sciences,Springer Science+Business Media B.V.,1006-9321(Paper)1862-281X(Online)
Science in China Series F: Information Sciences,Springer Science+Business Media B.V.,1009-2757(Paper)1862-2836(Online)
The Internet Journal of Family Practice,"Internet Scientific Publications, LLC",(Paper)1528-8358(Online)
The Internet Journal of Forensic Science,"Internet Scientific Publications, LLC",(Paper)1540-2622(Online)
The Internet Journal of Gastroenterology,"Internet Scientific Publications, LLC",(Paper)1528-8323(Online)
The Internet Journal of Genomics and Proteomics,"Internet Scientific Publications, LLC",(Paper)1540-2630(Online)
The Internet Journal of Geriatrics and Gerontology,"Internet Scientific Publications, LLC",(Paper)1937-8211(Online)
The Internet Journal of Gynecology and Obstetrics,"Internet Scientific Publications, LLC",(Paper)1528-8439(Online)
The Internet Journal of Health,"Internet Scientific Publications, LLC",(Paper)1528-8315(Online)
The Internet Journal of Healthcare Administration,"Internet Scientific Publications, LLC",(Paper)1531-2933(Online)
The Internet Journal of Hematology,"Internet Scientific Publications, LLC",(Paper)1540-2649(Online)
The Internet Journal of Infectious Diseases,"Internet Scientific Publications, LLC",(Paper)1528-8366(Online)
The Internet Journal of Internal Medicine,"Internet Scientific Publications, LLC",(Paper)1528-8382(Online)
"The Internet Journal of Law, Healthcare and Ethics","Internet Scientific Publications, LLC",(Paper)1528-8250(Online)
The Internet Journal of Medical Informatics,"Internet Scientific Publications, LLC",
The Internet Journal of Medical Simulation,"Internet Scientific Publications, LLC",(Paper)1559-4734(Online)
The Internet Journal of Medical Technology,"Internet Scientific Publications, LLC",(Paper)1559-4610(Online)
The Internet Journal of Mental Health,"Internet Scientific Publications, LLC",(Paper)1531-2941(Online)
The Internet Journal of Microbiology,"Internet Scientific Publications, LLC",
The Internet Journal of Nanotechnology,"Internet Scientific Publications, LLC",
The Internet Journal of Nephrology,"Internet Scientific Publications, LLC",(Paper)1540-2665(Online)
The Internet Journal of Neurology,"Internet Scientific Publications, LLC",(Paper)1531-295X(Online)
The Internet Journal of Neuromonitoring,"Internet Scientific Publications, LLC",(Paper)1531-300X(Online)
The Internet Journal of Neurosurgery,"Internet Scientific Publications, LLC",(Paper)1528-8285(Online)
The Internet Journal of Nuclear Medicine,"Internet Scientific Publications, LLC",(Paper)1539-4638(Online)
The Internet Journal of Oncology,"Internet Scientific Publications, LLC",(Paper)1528-8331(Online)
The Internet Journal of Ophthalmology and Visual Science,"Internet Scientific Publications, LLC",(Paper)1528-8269(Online)
Internet Journal of Orthopedic Surgery,Universitaet Duesseldorf,(Paper)0949-2607(Online)
The Internet Journal of Otorhinolaryngology,"Internet Scientific Publications, LLC",(Paper)1528-8420(Online)
"The Internet Journal of Pain, Symptom Control and Palliative Care","Internet Scientific Publications, LLC",(Paper)1528-8277(Online)
The Internet Journal of Parasitic Diseases,"Internet Scientific Publications, LLC",(Paper)1559-4629(Online)
The Internet Journal of Pathology,"Internet Scientific Publications, LLC",(Paper)1528-8307(Online)
The Internet Journal of Pediatrics and Neonatology,"Internet Scientific Publications, LLC",(Paper)1528-8374(Online)
The Internet Journal of Perfusionists,"Internet Scientific Publications, LLC",(Paper)1531-3026(Online)
The Internet Journal of Pharmacology,"Internet Scientific Publications, LLC",(Paper)1531-2976(Online)
The Internet Journal of Plastic Surgery,"Internet Scientific Publications, LLC",(Paper)1528-8293(Online)
The Internet Journal of Pulmonary Medicine,"Internet Scientific Publications, LLC",(Paper)1531-2984(Online)
The Internet Journal of Radiology,"Internet Scientific Publications, LLC",(Paper)1528-8404(Online)
The Internet Journal of Rescue and Disaster Medicine,"Internet Scientific Publications, LLC",(Paper)1531-2992(Online)
The Internet Journal of Rheumatology,"Internet Scientific Publications, LLC",(Paper)1528-8412(Online)
The Internet Journal of Spine Surgery,"Internet Scientific Publications, LLC",
The Internet Journal of Surgery,"Internet Scientific Publications, LLC",(Paper)1528-8242(Online)
The Internet Journal of Third World Medicine,"Internet Scientific Publications, LLC",(Paper)1539-4646(Online)
The Internet Journal of Thoracic and Cardiovascular Surgery,"Internet Scientific Publications, LLC",(Paper)1524-0274(Online)
The Internet Journal of Toxicology,"Internet Scientific Publications, LLC",(Paper)1559-3916(Online)
The Internet Journal of Tropical Medicine,"Internet Scientific Publications, LLC",(Paper)1540-2681(Online)
The Internet Journal of Urology,"Internet Scientific Publications, LLC",(Paper)1528-8390(Online)
The Internet Journal of Veterinary Medicine,"Internet Scientific Publications, LLC",
The Internet Journal of World Health and Societal Politics,"Internet Scientific Publications, LLC",(Paper)1540-269X(Online)
Internet Law Resource Center,Bloomberg BNA,(Paper)2159-3051(Online)
Internet Mathematics,Taylor & Francis,1542-7951(Paper)1944-9488(Online)
Internet Mathematics (Project Euclid),"A K Peters, Ltd",1542-7951
Internet Reference Services Quarterly,Routledge,1087-5301(Paper)1540-4749(Online)
Internet Research: Electronic Networking Applications and Policy,Emerald Group Publishing Ltd,1066-2243
Internet Resources Newsletter,Heriot-Watt University Library,1361-9381
Internet World,Penton Media,1097-8291
Der Internist,Springer Science+Business Media B.V.,0020-9554(Paper)1432-1289(Online)
Interpretation,Queens College,0020-9635
Interpretation,Society of Exploration Geophysicists,2324-8858(Paper)2324-8866(Online)
Interpretation (Highwire),Society of Exploration Geophysicists,2324-8858(Paper)2324-8866(Online)
Interpretation: A journal of bible & theology,SAGE Publications,0020-9643
The Interpreter and Translator Trainer,Taylor & Francis,1750-399X(Paper)1757-0417(Online)
Interpreting,John Benjamins BV,1384-6647(Paper)1569-982X(Online)
Intersections: Canadian University Music Review,Canadian University Music Society,1911-0146(Paper)1918-512X(Online)
Intersezioni ,Societa Editrice il Mulino SPA,0393-2451
InterStat,InterStat,
Intertax,Kluwer Law International/NE,0165-2826
Intertexts,Texas Tech University Press,1092-0625
Intervalli,Suomen Musiikkikirjastoyhd,(Paper)1796-7392(Online)
Intervention,Lippincott Williams & Wilkins (LWW),1571-8883
Intervention in School and Clinic,SAGE Publications,1053-4512(Paper)1538-4810(Online)
Intervention Research,IOS Press,1573-417X
Interventional Cardiology,Future Medicine Ltd,1755-5302(Paper)1755-5310(Online)
Interventional Cardiology Clinics,Elsevier Science,2211-7458
Interventional Medicine and Applied Science,Akademiai Kiado,2061-1617(Paper)2061-5094(Online)
Interventional Neurology,S Karger AG,1664-9737(Paper)1664-5545(Online)
Interventional Neuroradiology,Centauro S.r.l.,1591-0199
Interventional Neuroradiology,SAGE Publications,1591-0199(Paper)2385-2011(Online)
Interventionelle Radiologie Scan,Georg Thieme Verlag Stuttgart,2196-2510(Paper)2196-2529(Online)
Interventions: International Journal of Postcolonial Studies,Routledge,1369-801X(Paper)1469-929X(Online)
Intervirology,S Karger AG,0300-5526(Paper)1423-0100(Online)
Intramuros,Intramuros CHM,0769-3710
IntraVital,Taylor & Francis,2165-9079(Paper)2165-9087(Online)
Intrinsically Disordered Proteins,Taylor & Francis,(Paper)2169-0707(Online)
Invasion and Metastasis,S Karger AG,0251-1789(Paper)1423-0119(Online)
Invasive Plant Science and Management,Weed Science Society of America,1939-7291(Paper)1939-747X(Online)
Inventiones Mathematicae,Springer Science+Business Media B.V.,0020-9910(Paper)1432-1297(Online)
Inverse Problems,IOP Publishing Limited,0266-5611(Paper)1361-6420(Online)
Inverse Problems and Imaging,American Institute of Mathematical Sciences (AIMS),1930-8337(Paper)1930-8345(Online)
Inverse Problems in Engineering,Taylor & Francis,1068-2767(Paper)1029-0281(Online)
Inverse Problems in Science and Engineering,Taylor & Francis,1741-5977(Paper)1741-5985(Online)
Inversion & Finanzas (Spain),Inversor Ediciones SL,
Invertebrate Biology,Wiley-Blackwell,1077-8306(Paper)1744-7410(Online)
Invertebrate Immunity,Versita,(Paper)2084-767X(Online)
Invertebrate Neuroscience,Springer Science+Business Media B.V.,1354-2516(Paper)1439-1104(Online)
Invertebrate Reproduction & Development,Taylor & Francis,0792-4259(Paper)2157-0272(Online)
Invertebrate Survival Journal,ISJ,1824-307X
Invertebrate Systematics (formerly Invertebrate Taxonomy),CSIRO Publishing,1445-5226
Invertebrate Taxonomy (now called Invertebrate Systematics),CSIRO Publishing,0818-0164
Investigación bibliotecológica,Universidad Nacional Autónoma de México Universidad,0187-358X
Investigación Clínica,Universidad del Zulia,0535-5133
Investigacion Clinica y Bioetica,Inst Catala Farmacologia,1131-8910
Investigacion Economica,UNAM Facultad de Economia,0185-1667
Rivista di Storia dell Agricoltura,Accademia Georgofili,0557-1359
Rivista di Storia della Filosofia,Franco Angeli SRL,0393-2516(Paper)1972-5558(Online)
Rivista di Storia e Letteratura Religiosa,La Casa Editrice Leo S Olschki,0035-6573(Paper)2035-7583(Online)
Rivista di Storia Economica,Societa Editrice il Mulino SPA,0393-3415
Rivista di Studi di Fotografia,Firenze University Press,2421-6429(Paper)2421-6941(Online)
Rivista di Studi Fenici,Fabrizio Serra editore,0390-3877(Paper)1724-1855(Online)
Rivista di Studi Portoghesi E Brasiliani,Fabrizio Serra editore,1129-4205(Paper)1724-1529(Online)
Rivista economica del Mezzogiorno,Societa Editrice il Mulino SPA,1120-9534
Rivista giuridica del Mezzogiorno,Societa Editrice il Mulino SPA,1120-9542
Rivista Il Documento Digitale,Lex et Ars,
Rivista Internazionale di Scienze Sociali,Vita e Pensiero Pubblic,0035-676X(Paper)1827-7918(Online)
Rivista Italiana Degli Economisti,Societa Editrice il Mulino SPA,1593-8662
Rivista Italiana di Agrometeorolgia,Association Italiana Agrometeorologia,1824-8705
Rivista Italiana di Chirurgia Macillo-Facciale : Organo Ufficiale della Società Italiana di Chirurgia Maxillo-Facciale,Edizioni Minerva Medica,1120-7558
Rivista Italiana di Educazione Familiare,Firenze University Press,1973-638X(Paper)2037-1861(Online)
Rivista Italiana di Linguistica e di Dialettologia,Fabrizio Serra editore,1128-6369(Paper)1724-1537(Online)
