ShortName,LongName,Issn
SEXUAL & REPRODUCTIVE HEALTHCARE,"ELSEVIER IRELAND LTD, ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, IRELAND, 00000",1877-5756
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,"SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",1079-0632
SEXUAL AND RELATIONSHIP THERAPY,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",1468-1994
SEXUAL DEVELOPMENT,"KARGER, ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",1661-5425
SEXUAL HEALTH,"CSIRO PUBLISHING, UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, AUSTRALIA, VIC, 3168",1448-5028
SEXUAL MEDICINE,"WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",2050-1161
SEXUALITIES,"SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",1363-4607
SEXUALITY AND DISABILITY,"SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013",0146-1044
SEXUALITY RESEARCH AND SOCIAL POLICY,"SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013",1868-9884
SEXUALLY TRANSMITTED DISEASES,"LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",0148-5717
SEXUALLY TRANSMITTED INFECTIONS,"BMJ PUBLISHING GROUP, BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND, WC1H 9JR",1368-4973
SGAT BULLETIN,"SOC GEOSCIENTISTS & ALLIED TECHNOLOGISTS, PLOT NO ND-12 P, VIP AREA, P O I R C VILLAGE, BHUBANESWAR, INDIA, 751 015",0972-2173
SGU SERIES C RESEARCH PAPERS,"SVERIGES GEOLOGISKA UNDERSOKNING, BOX 670, UPPSALA, SWEDEN, S-75128",1103-3371
SGUARDO-RIVISTA DI FILOSOFIA,"EDIZIONI STORIA & LETTERATURA, VIA DELLE FORNACI 24, ROME, ITALY, 00165",2036-6558
SHAKESPEARE,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",1745-0918
SHAKESPEARE QUARTERLY,"JOHNS HOPKINS UNIV PRESS, JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363",0037-3222
SHAKESPEARE SURVEY,"CAMBRIDGE UNIV PRESS, THE PITT BUILDING, TRUMPINGTON ST, CAMBRIDGE, ENGLAND, CAMBS, CB2 1RP",0080-9152
SHANGHAI HAIYANG DAXUE XUEBAO,"SHANGHAI OCEAN UNIV, 999 HUCHENG HUAN RD, NANHUI DISTRICT, SHANGHAI, PEOPLES R CHINA, 201306",1674-5566
SHANXI DAXUE XUEBAO ZIRAN KEXUE BAN,"CHINA INT BOOK TRADING CORP, 35 CHEGONGZHUANG XILU, HAIDAN DISTRICT, PO BOX 399, BEIJING, PEOPLES R CHINA, 100044",0253-2395
SHAW-THE JOURNAL OF BERNARD SHAW STUDIES,"PENN STATE UNIV PRESS, 820 NORTH UNIV DRIVE, U S B 1, STE C, UNIVERSITY PK, USA, PA, 16802",0741-5842
SHELL DISCOVERIES,"CONCHBOOKS, PUBLISHING HOUSE, BOOK-TRADERS & ANTIQUARIAN, BAHNHOFSTR 117,, HARXHEIM, GERMANY, D-55296",2195-2396
SHENANDOAH,"WASHINGTON LEE UNIV, SHENANDOAH PO BOX 722, LEXINGTON, USA, VA, 24450",0037-3583
SHENGMING KEXUE YANJIU,"HUNAN NORMAL UNIV, HUNAN NORMAL UNIV, CHANGSHA, PEOPLES R CHINA, HUNAN, 00000",1007-7847
SHENYANG SHIFAN DAXUE XUEBAO ZIRAN KEXUE BAN,"SHENYANG NORMAL UNIV, 253 NORTHERN HUANGHE ST, HUANGGU DISTRICT, SHENYANG, PEOPLES R CHINA, LIAONING, 110034",1673-5862
SHETLAND BIRD REPORT,"SHETLAND BIRD CLUB, C/O REINOUD NORDE, GENERAL SECRETARY, LINDALE, IRELAND, BIGTON, ENGLAND, SHETLAND, ZE2 9JA",1364-4149
SHIJIE DIZHI,"JILIN UNIV, 938 XIMINZHU, CHANGCHUN, PEOPLES R CHINA, 130026",1004-5589
SHIKA IGAKU,"OSAKA ODONTOLOGICAL SOC, OSAKA DENTAL UNIV, 8-1, KUZUHAHANAZONO-CHO, OSAKA, JAPAN, 00000",0030-6150
SHIKWA GAKUHO,"TOKYO DENTAL COLL SOC, 2-2, MASAGO 1-CHOME, MIHAMAKU, CHIBA-KEN, JAPAN, 00000",0037-3710
SHILAP-REVISTA DE LEPIDOPTEROLOGIA,"SOC HISPANO-LUSO-AMER LEPIDOPTEROLOGIA-SHILAP, APARTADO DE CORREOS, 331, MADRID, SPAIN, 28080",0300-5267
SHIMA-THE INTERNATIONAL JOURNAL OF RESEARCH INTO ISLAND CULTURES,"MACQUARIE UNIV, DIV HUMANITIES, MACQUARIE UNIV, SYDNEY, AUSTRALIA, NSW 2109",1834-6049
SHIP TECHNOLOGY RESEARCH,"TAYLOR & FRANCIS INC, 530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",0937-7255
SHIPS AND OFFSHORE STRUCTURES,"TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OR14 4RN",1744-5302
SHIZENSHI-KENKYU OCCASIONAL PAPERS FROM THE OSAKA MUSEUM OF NATURAL HISTORY,"OSAKA MUSEUM OF NATURAL HISTORY, NAGAI PARK, OSAKA, JAPAN",0078-6683
SHOCK,"LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",1073-2322
SHOCK AND VIBRATION,"HINDAWI PUBLISHING CORP, 315 MADISON AVE 3RD FLR, STE 3070, NEW YORK, USA, NY, 10017",1070-9622
SHOCK WAVES,"SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013",0938-1287
SHOFAR-AN INTERDISCIPLINARY JOURNAL OF JEWISH STUDIES,"PURDUE UNIV PRESS, 1207 SOUTH CAMPUS COURTS-E, W LAFAYETTE, USA, IN, 47907-1207",0882-8539
SHORT FILM STUDIES,"INTELLECT LTD, THE MILL, PARNALL RD, BRISTOL, ENGLAND, BS16 3JG",2042-7824
SHUICHANXUE ZAZHI,"HEILONGJIANG RIVER FISHERIES RESEARCH INST-HRFRI, CHINESE ACAD FISHERIES SCIENCES, 232 HESONG AVE, HARBIN, PEOPLES R CHINA, DAOLI, 150070",1005-3832
SHUIZIYUAN BAOHU,"WATER RESOURCES PROTECTION, 1 XIKANG RD, NANJING, PEOPLES R CHINA, 210098",1004-6933
SI GECOM EXCHANGES,"ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",1551-9031
SI SOMOS AMERICANOS-REVISTA DE ESTUDIOS TRANSFRONTERIZOS,"UNIV ARTURO PRAT, ARTURO PRAT CHACON 2120, IQUIQUE, PRIMERA REGION TARAPACA, IQUIQUE, CHILE,00000",0718-2910
SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",1536-0040
SIAM JOURNAL ON APPLIED MATHEMATICS,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",0036-1399
SIAM JOURNAL ON COMPUTING,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",0097-5397
SIAM JOURNAL ON CONTROL AND OPTIMIZATION,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",0363-0129
SIAM JOURNAL ON DISCRETE MATHEMATICS,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",0895-4801
SIAM JOURNAL ON FINANCIAL MATHEMATICS,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",1945-497X
SIAM JOURNAL ON IMAGING SCIENCES,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",1936-4954
SIAM JOURNAL ON MATHEMATICAL ANALYSIS,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",0036-1410
SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",0895-4798
SIAM JOURNAL ON NUMERICAL ANALYSIS,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",0036-1429
SIAM JOURNAL ON OPTIMIZATION,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",1052-6234
SIAM JOURNAL ON SCIENTIFIC COMPUTING,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",1064-8275
SIAM REVIEW,"SIAM PUBLICATIONS, 3600 UNIV CITY SCIENCE CENTER, PHILADELPHIA, USA, PA, 19104-2688",0036-1445
SIBERIAN MATHEMATICAL JOURNAL,"MAIK NAUKA/INTERPERIODICA/SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013-1578",0037-4466
SIBIRICA-INTERDISCIPLINARY JOURNAL OF SIBERIAN STUDIES,"BERGHAHN JOURNALS, 20 JAY ST, SUITE 512, BROOKLYN, USA, NY, 11201",1361-7362
SIBIRSKII EKOLOGICHESKII ZHURNAL,"NAUKA, SHUBINSKII PEREULOK 10, MOSCOW, RUSSIA, G-200",0869-8627
SIBIRSKII FILOLOGICHESKII ZHURNAL,"RUSSIAN ACAD SCI, INST PHILOLOGY, NIKOLAEVA ST, 8, NOVOSIBIRSK, RUSSIA, 630090",1813-7083
SIBOGA-EXPEDITIE MONOGRAPHIEEN,"BRILL ACADEMIC PUBLISHERS, PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",0165-2656
SIC-A JOURNAL OF LITERATURE CULTURE AND LITERARY TRANSLATION,"UNIV ZADAR, MIHOVILA PAVLINOVICA, ZADAR, CROATIA, 23000",1847-7755
SICHUAN DAXUE XUEBAO-ZIRAN KEXUEBAN,"SICHUAN UNIV, SICHUAN UNIV, CHENGDU, PEOPLES R CHINA, SICHUAN, 610064, 00000",0490-6756
SICHUAN JOURNAL OF ZOOLOGY,"SICHUAN JOURNAL ZOOLOGY, NO. 9, SECTION 4, RENMIN RD SOUTH, CHENGDU, PEOPLES R CHINA, SICHUAN, 610041",1000-7083
SIGHT AND SOUND,"BRITISH FILM INST, 21 STEPHEN STREET, LONDON, ENGLAND, W1P 1PL",0037-4806
SIGMA JOURNAL OF ENGINEERING AND NATURAL SCIENCES-SIGMA MUHENDISLIK VE FENBILIMLERI DERGISI,"YILDIZ TECHNICAL UNIV, YILDIZ CAMPUS, BESIKTAS, ISTANBUL, TURKEY, 34349",1304-7205
SIGMAE,"UNIV FEDERAL ALFENAS, RUA GABRIEL MONTEIRO DA SILVA 700, CENTRO, ALFENAS, BRAZIL, MG 37130-000AP",2317-0840
SIGMOD RECORD,"ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701",0163-5808
SIGN LANGUAGE & LINGUISTICS,"JOHN BENJAMINS PUBLISHING CO, PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME",1387-9316
SIGN LANGUAGE STUDIES,"GALLAUDET UNIV PRESS, 800 FLORIDA AVE NE, WASHINGTON, USA, DC, 20002",0302-1475
SIGN SYSTEMS STUDIES,"TARTU UNIV PRESS, W STRUVE 1, TARTU, ESTONIA, 50091",1406-4243
SIGNA VITAE,"PHARMAMED MADO LTD, ZATISJE 8 G, ZAGREB, CROATIA, 10000",1334-5605
SIGNA-REVISTA DE LA ASOCIACION ESPANOLA DE SEMIOTICA,"UNIV NACIONAL EDUCACION DISTANCIA, PO SENDA REY,BRAVO MURILLO 38, MADRID, SPAIN, 7-28040",1133-3634
SIGNAL IMAGE AND VIDEO PROCESSING,"SPRINGER LONDON LTD, 236 GRAYS INN RD, 6TH FLOOR, LONDON, ENGLAND, WC1X 8HL",1863-1703
SIGNAL PROCESSING,"ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE",0165-1684
SIGNAL PROCESSING-IMAGE COMMUNICATION,"ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE",0923-5965
SIGNO Y SENA-REVISTA DEL INSTITUTO DE LINGUISTICA,"UNIV BUENOS AIRES, INST LINGUISTICA, 25 MAYO 221 PISO 1O, BUENOS AIRES, ARGENTINA, C1002ABE",2314-2189
SIGNS,"UNIV CHICAGO PRESS, 1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954",0097-9740
SIGNS AND SOCIETY,"UNIV CHICAGO PRESS, 1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954",2326-4489
SILICON,"SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",1876-990X
SILLIMAN JOURNAL,"SILLIMAN UNIV MAIN LIBRARY, DUMAGUETE CITY, PHILIPPINES, NEGROS ORIENTAL, 6200",0037-5284
SILVA FENNICA,"FINNISH SOC FOREST SCIENCE-NATURAL RESOURCES INST FINLAND, PO BOX 18, VANTAA, FINLAND, FI-01301",0037-5330
SILVA FENNICA MONOGRAPHS,"FINNISH SOC FOREST SCIENCE, FINNISH FOREST RESEARCH INST, UNIONINKATU 40 A, HELSINKI, FINLAND, 00000",1457-7356
SILVA GABRETA,"SPRAVA NARODNIHO PARKU SUMAVA, SUSICKA 399, KASPERSKE HORY, CZECH REPUBLIC, 341 92",1211-7420
SILVA LUSITANA,"ESTACAO FLORESTAL NACIONAL, AV DA REPUBLICA-QUINTA DO MARGUES, OEIRAS, PORTUGAL, 2780-159",0870-6352
SILVAE GENETICA,"J D SAUERLAENDERS VERLAG, BERLINER STRASSE 46, BAD ORB, GERMANY, 63619",0037-5349
SIMBIOTICA,"UNIV FEDERAL ESPIRITO SANTO, CAMPUS UNIV, AVENIDA FERNANDO FERRARI, VITORIA, BRAZIL, ES 29060-900AP",2316-1620
SIMIOLUS-NETHERLANDS QUARTERLY FOR THE HISTORY OF ART,"STICHTING NEDERLANDSE KUNSTHISTORISCHE PUBLICATIES, POST BOX 14066, SC UTRECHT, NETHERLANDS, 3508",0037-5411
SIMULATION IN HEALTHCARE-JOURNAL OF THE SOCIETY FOR SIMULATION IN HEALTHCARE,"LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",1559-2332
SIMULATION MODELLING PRACTICE AND THEORY,"ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE",1569-190X
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,"SAGE PUBLICATIONS LTD, 1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",0037-5497
SIND UNIVERSITY RESEARCH JOURNAL-SCIENCE SERIES,"UNIV SIND, DEPT FRESHWATER BIOLOGY & FISHERIES, JAMSHORO 6, SINDH, PAKISTAN, 00000",0080-9624
SINDH UNIVERSITY RESEARCH JOURNAL-SCIENCE SERIES,"UNIV SINDH, INST CHEMISTRY, JAMSHORO, SINDH, PAKISTAN, 00000",1813-1743
SINGAPORE ECONOMIC REVIEW,"WORLD SCIENTIFIC PUBL CO PTE LTD, 5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224",0217-5908
SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY,"WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",0129-7619
SINGAPORE MEDICAL JOURNAL,"SINGAPORE MEDICAL ASSOC, LEVEL 2 ALUMNI MEDICAL CENTRE, 2 COLLEGE RD, SINGAPORE, SINGAPORE, 169850",0037-5675
SINN UND FORM,"SINN UND FORM, C/O AUFBLAU-VERLAG GMBH FRANZOSISCHE STR 32, BERLIN, GERMANY, 10117",0037-5756
SINO-CHRISTIAN STUDIES,"CHUNG YUAN CHRISTIAN UNIV, 200 CHUNG PEI RD, CHUNG LI, TAIWAN, 32023 ROC",1990-2670
SINTAGMA,"UNIV LLEIDA, PLACA VICTOR SIURANA 1, LLEIDA, SPAIN, E-25003",0214-9141
SISTEMAS & TELEMATICA,"UNIV ICESI, CALLE 18 NO 122-135 PANCE, CALI, COLOMBIA, 00000",1692-5238
SITIENTIBUS SERIE CIENCIAS BIOLOGICAS,"UNIV ESTADUAL FEIRA SANTANA, AV TRANSORDESTINA S N NOVO HORIZONTE, FEIRA DE SANTANA, BRAZIL, BAHAI, CEP44036-900AP",1519-6097
SITUARTE,"UNIV ZULIA-VENEZUELA, UNIV ZULIA-VENEZUELA, MARACAIBO, VENEZUELA, 00000",1856-7134
SITZUNGSBERICHTE DER GESELLSCHAFT NATURFORSCHENDER FREUNDE ZU BERLIN N F,"VERLAG GOECKE & EVERS, SPORTPLATZWEG 5, KELTERN-WEILER, GERMANY, 75210",0037-5942
SIXTEENTH CENTURY JOURNAL,"SIXTEENTH CENTURY JOURNAL PUBL, MC111-L, TRUMAN STATE UNIV, 100 E NORMAL ST, KIRKSVILLE, USA, MO, 63501-4211",0361-0160
SIXTIES-A JOURNAL OF HISTORY POLITICS AND CULTURE,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",1754-1328
SJEMENARSTVO,"HRVATSKO AGRONOMSKO DRUSTVO-CROATIAN SOC AGRONOMISTS, BERISLAVICEVA 6/1, ZAGREB, CROATIA, 10000",1330-0121
SKELETAL MUSCLE,"BIOMED CENTRAL LTD, 236 GRAYS INN RD, FLOOR 6, LONDON, ENGLAND, WC1X 8HL",2044-5040
SKELETAL RADIOLOGY,"SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013",0364-2348
SKIN APPENDAGE DISORDERS,"KARGER, ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",2296-9195
SKIN PHARMACOLOGY AND PHYSIOLOGY,"KARGER, ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",1660-5527
SKIN RESEARCH AND TECHNOLOGY,"WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",0909-752X
SKORVNOPPARN,"NORRLANDS ENTOMOLOGIA FORENING, C/O ANDERS NILSSON MULLSJO 258, NORDMALING, SWEDEN, 91490",2000-4397
SLAS DISCOVERY,"SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",2472-5552
SLAS TECHNOLOGY,"SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",2472-6303
SLAVERY & ABOLITION,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",0144-039X
SLAVIC AND EAST EUROPEAN JOURNAL,"AMER ASSOC TEACHERS SLAVIC EAST EUROPEAN LANGUAGES, UNIV ARIZONA MODERN LANGUAGES BUILDING, TUCSON, USA, AZ, 85287",0037-6752
SLAVIC REVIEW,"UNIV ILLINOIS, URBANA-CHAMPAIGN, 1207 W OREGON ST, URBANA, USA, IL, 61801-3716",0037-6779
SLAVICA TERGESTINA,"UNIV STUDI TRIESTE, EDIZIONI UNIVERSITA TRIESTE-EUT, VIA EDOARDO WEISS 21, TRIESTE, ITALY, 34128",1592-0291
SLAVONIC AND EAST EUROPEAN REVIEW,"MODERN HUMANITIES RESEARCH ASSOCIATION, 1 CARLTON HOUSE TERRACE, LONDON, ENGLAND, SW1Y 5AF",0037-6795
SLAVONICA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",1361-7427
SLEEP,"AMER ACAD SLEEP MEDICINE, 2510 N FRONTAGE RD, DARIEN, USA, IL, 60561",0161-8105
SLEEP AND BIOLOGICAL RHYTHMS,"SPRINGER LONDON LTD, 236 GRAYS INN RD, 6TH FLOOR, LONDON, ENGLAND, WC1X 8HL",1446-9235
SLEEP AND BREATHING,"SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",1520-9512
SLEEP MEDICINE,"ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE",1389-9457
SLEEP MEDICINE CLINICS,"ELSEVIER INC, 525 B STREET, STE 1900, SAN DIEGO, USA, CA, 92101-4495",1556-407X
SLEEP MEDICINE REVIEWS,"W B SAUNDERS CO LTD, 32 JAMESTOWN RD, LONDON, ENGLAND, NW1 7BY",1087-0792
SLEEP SCIENCE,"ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE",1984-0659
SLOVAK GEOLOGICAL MAGAZINE,"GEOLOGICAL SURVEY SLOVAK REPUBLIC, MLYNSKA DOLINA 1, BRATISLAVA, SLOVAKIA, 817 04",1335-096X
SLOVAK JOURNAL OF CIVIL ENGINEERING,"DE GRUYTER OPEN LTD, BOGUMILA ZUGA 32A ST, WARSAW, POLAND, 01-811",****-****
SLOVAK RAPTOR JOURNAL,"DE GRUYTER OPEN LTD, BOGUMILA ZUGA 32A ST, WARSAW, POLAND, 01-811",1337-3463
SLOVENE-INTERNATIONAL JOURNAL OF SLAVIC STUDIES,"MOSCOW STATE UNIV EDUCATION, 1-1 M PIROGOVSKAYA STR, MOSCOW, RUSSIA, 119991",2304-0785
SLOVENIAN VETERINARY RESEARCH,"UNIV LJUBLJANA, VETERINARY FACULTY, GERBICEVA 60, LJUBLJANA, SLOVENIA, 1000",1580-4003
SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI RAZRED ZA NARAVOSLOVNE VEDE DELA,"SLOVENSKA AKAD ZNANOSTI UMETNOSTI, BIBLIOTEKA, NOVI TRG, 5, P P 323, LJUBLJANA, SLOVENIA, SI-1000",0353-6645
SLOVO,"UNIV COLLEGE LONDON, SCHOOL SLAVONIC & EAST EUROPEAN STUDIES, GOWER STREET, LONDONE, ENGLAND, WCIE 6BT",0954-6839
SLOVO A SLOVESNOST,"CZECH LANG INST CZECH ACAD SCI, USTAV PRO JAZYK CESKY AV CR, V V I, LETENSKA 4, PRAHA 1, CZECH REPUBLIC, 118 51",0037-7031
SLUKA,"HOLYSOVSKY ORNITOLOGICKY KLUB, LIBOR SCHROPFER, HUSOVA 302, HOLYSOV, CZECH REPUBLIC, 345 62",1801-0164
SMALL,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, WEINHEIM, GERMANY, 69451",1613-6810
SMALL AXE,"DUKE UNIV PRESS, 905 W MAIN ST, STE 18-B, DURHAM, USA, NC, 27701",0799-0537
SMALL BUSINESS ECONOMICS,"SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",0921-898X
SMALL CARNIVORE CONSERVATION,"IUCN-SSC AFROTHERIA SPECIALIST GROUP, WWF INT, AFRICA & MADAGASCAR PROGRAMME, AVE DU MONT BLANC, RUE MAUVERNEY 28, GLAND, SWITZERLAND, CH-1196",1019-5041
SMALL ENTERPRISE RESEARCH,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",1321-5906
SMALL GROUP RESEARCH,"SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",1046-4964
SMALL MAMMAL MAIL,"ZOO OUTREACH ORGANISATION, 96, KUMUDHAM NAGAR, VILANKURICHI RD, COIMBATORE, INDIA, TAMIL NADU, 641 035",****-****
SMALL RUMINANT RESEARCH,"ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE",0921-4488
SMALL WARS AND INSURGENCIES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",0959-2318
SMALL-SCALE FORESTRY,"SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",1873-7617
SMART AND SUSTAINABLE BUILT ENVIRONMENT,"EMERALD GROUP PUBLISHING LTD, HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",2046-6099
SMART HOMECARE TECHNOLOGY AND TELEHEALTH,"DOVE MEDICAL PRESS LTD, PO BOX 300-008, ALBANY, NEW ZEALAND, AUCKLAND, 0752",2253-1564
SMART MATERIALS AND STRUCTURES,"IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE",0964-1726
SMART SCIENCE,"TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OR14 4RN",2308-0477
SMART STRUCTURES AND SYSTEMS,"TECHNO-PRESS, PO BOX 33, YUSEONG, DAEJEON, SOUTH KOREA, 305-600",1738-1584
SMITH COLLEGE STUDIES IN SOCIAL WORK,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",0037-7317
SMITHIANA BULLETIN,"SOUTH AFRICAN INST AQUATIC BIODIVERSITY, SOMERSET ST, PRIVATE BAG 1015, GRAHAMSTOWN, SOUTH AFRICA, 6140",1684-4130
SMITHIANA MONOGRAPH,"SOUTH AFRICAN INST AQUATIC BIODIVERSITY, SOMERSET ST, PRIVATE BAG 1015, GRAHAMSTOWN, SOUTH AFRICA, 6140",1813-7458
SMITHIANA SPECIAL PUBLICATION,"SOUTH AFRICAN INST AQUATIC BIODIVERSITY, SOMERSET ST, PRIVATE BAG 1015, GRAHAMSTOWN, SOUTH AFRICA, 6140",1684-4149
SMITHSONIAN CONTRIBUTIONS TO ANTHROPOLOGY,"SMITHSONIAN INST PRESS, 750 NINTH ST, N  W  STE 4300, WASHINGTON, USA, DC, 20560-0950",0081-0223
SMITHSONIAN CONTRIBUTIONS TO BOTANY,"SMITHSONIAN INST PRESS, 750 NINTH ST, N  W  STE 4300, WASHINGTON, USA, DC, 20560-0950",0081-024X
SMITHSONIAN CONTRIBUTIONS TO PALEOBIOLOGY,"SMITHSONIAN INST PRESS, 750 NINTH ST, N  W  STE 4300, WASHINGTON, USA, DC, 20560-0950",0081-0266
